,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
49830,Karen Stramm,Karen Stramm,https://kleineanfragen.de/mecklenburg-vorpommern/6/1790-suchtberatung,Suchtberatung,minor,2013-05-13T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49831,Peter Ritter,Peter Ritter,https://kleineanfragen.de/mecklenburg-vorpommern/6/1788-abrufen-von-steuerdaten-durch-finanzbeamte,Abrufen von Steuerdaten durch Finanzbeamte,minor,2013-05-13T00:00:00Z,Die Linke,Finanzministerium,Finanzministerium
49832,Simone Oldenburg,Simone Oldenburg,https://kleineanfragen.de/mecklenburg-vorpommern/6/1773-nichtbesetzte-stellenanteile-und-stellen-an-den-schulen-des-landes-am-stichtag-der-amtlichen-schulstatistik-des,Nichtbesetzte Stellenanteile und Stellen an den Schulen des Landes am Stichtag der Amtlichen Schulstatistik des Schuljahres 2012/2013,minor,2013-05-13T00:00:00Z,Die Linke,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49833,Ulrike Berger,Ulrike Berger,https://kleineanfragen.de/mecklenburg-vorpommern/6/1786-lesefoerderung-und-lesekompetenz-von-kindern,Leseförderung und Lesekompetenz von Kindern,minor,2013-05-10T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49834,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/1781-gewaehrung-und-missbrauch-von-prozesskostenhilfe,Gewährung und Missbrauch von Prozesskostenhilfe,minor,2013-05-10T00:00:00Z,Die Linke,Justizministerium,Justizministerium
49835,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/1779-personalbedarfe-und-ausstattung-der-gerichte,Personalbedarfe und Ausstattung der Gerichte,minor,2013-05-10T00:00:00Z,Die Linke,Justizministerium,Justizministerium
49836,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/1778-gewalt-gegen-polizeibeamte,Gewalt gegen Polizeibeamte,minor,2013-05-10T00:00:00Z,Die Linke,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49837,Stefan Köster,Stefan Köster,https://kleineanfragen.de/mecklenburg-vorpommern/6/1760-abmahnungen-und-vertragsstrafen-durch-die-deutsche-umwelthilfe-e-v,Abmahnungen und Vertragsstrafen durch die Deutsche Umwelthilfe e. V.,minor,2013-05-10T00:00:00Z,NPD,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
49838,Torsten Koplin,Torsten Koplin,https://kleineanfragen.de/mecklenburg-vorpommern/6/1728-mittelbereitstellung-fuer-planung-und-bauueberwachung-fuer-den-bundesfernstrassenbau-aus-dem-landeshaushalt,Mittelbereitstellung für Planung und Bauüberwachung für den Bundesfernstraßenbau aus dem Landeshaushalt,minor,2013-05-10T00:00:00Z,Die Linke,"Ministerium für Energie, Infrastruktur und Landesentwicklung","Ministerium für Energie, Infrastruktur und Landesentwicklung"
49839,Simone Oldenburg,Simone Oldenburg,https://kleineanfragen.de/mecklenburg-vorpommern/6/1727-pruefungen-im-rahmen-der-ausbildung-von-staatlich-anerkannten-erzieherinnen-und-erziehern-in-mecklenburg-vorpommern,Prüfungen im Rahmen der Ausbildung von staatlich anerkannten Erzieherinnen und Erziehern in Mecklenburg-Vorpommern,minor,2013-05-10T00:00:00Z,Die Linke,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49840,Johannes Saalfeld,Johannes Saalfeld,https://kleineanfragen.de/mecklenburg-vorpommern/6/1784-erforderlichkeit-und-verhaeltnismaessigkeit-von-hubschraubereinsaetzen-der-landespolizei,Erforderlichkeit und Verhältnismäßigkeit von Hubschraubereinsätzen der Landespolizei,minor,2013-05-08T00:00:00Z,Bündnis 90/Die Grünen,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49841,Prof. Dr. Fritz Tack,Prof. Dr. Fritz Tack,https://kleineanfragen.de/mecklenburg-vorpommern/6/1715-abluftreinigung-von-schweinehaltungsanlagen-in-mecklenburg-vorpommern,Abluftreinigung von Schweinehaltungsanlagen in Mecklenburg-Vorpommern,minor,2013-05-08T00:00:00Z,Die Linke,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
49842,Helmut Holter,Helmut Holter,https://kleineanfragen.de/mecklenburg-vorpommern/6/1761-innovationsstrategien-fuer-die-maritime-wirtschaft,Innovationsstrategien für die maritime Wirtschaft,minor,2013-05-07T00:00:00Z,Die Linke,"Ministerium für Wirtschaft, Bau und Tourismus","Ministerium für Wirtschaft, Bau und Tourismus"
49843,Johannes Saalfeld,Johannes Saalfeld,https://kleineanfragen.de/mecklenburg-vorpommern/6/1769-erstmaliger-automatischer-verlust-der-deutschen-staatsangehoerigkeit-nach-einfuehrung-der-optionspflicht,Erstmaliger automatischer Verlust der deutschen Staatsangehörigkeit nach Einführung der Optionspflicht,minor,2013-05-06T00:00:00Z,Bündnis 90/Die Grünen,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49844,Helmut Holter,Helmut Holter,https://kleineanfragen.de/mecklenburg-vorpommern/6/1762-fachkraeftesituation-in-der-maritimen-industrie-in-mecklenburg-vorpommern,Fachkräftesituation in der maritimen Industrie in Mecklenburg-Vorpommern,minor,2013-05-06T00:00:00Z,Die Linke,"Ministerium für Wirtschaft, Bau und Tourismus","Ministerium für Wirtschaft, Bau und Tourismus"
49845,Karen Stramm,Karen Stramm,https://kleineanfragen.de/mecklenburg-vorpommern/6/1759-barrierefreiheit-frauenhaeuser,Barrierefreiheit Frauenhäuser,minor,2013-05-06T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
